speed_kmh,steer_deg_sw,steer_deg_wheel,straight_dist_m,avoidance_success,outcome,min_clearance_m,max_lat_dev_m,lat_at_obstacle_m,pd_start_dist_m,lane_start_dist_m,total_dist_m
10,25,1.67,10,0,COLLISION_LANE_RETURN,-0.043,5.574,1.305,40.1,45.1,60.7
10,30,2.0,10,0,COLLISION_LANE_RETURN,-0.049,6.697,1.57,40.1,45.4,61.4
10,35,2.33,10,0,CLIFF_PD_RETURN,20.535,7.516,7.516,40.1,N/A,40.9
10,40,2.67,10,0,CLIFF_EVADE,22.648,7.517,7.517,N/A,N/A,38.8
10,45,3.0,10,0,CLIFF_EVADE,24.274,7.514,7.514,N/A,N/A,37.2
10,50,3.33,10,0,CLIFF_EVADE,25.644,7.526,7.526,N/A,N/A,35.9
10,55,3.67,10,0,CLIFF_EVADE,26.848,7.525,7.525,N/A,N/A,34.7
10,60,4.0,10,0,CLIFF_EVADE,27.93,7.5,7.5,N/A,N/A,33.7
10,65,4.33,10,0,CLIFF_EVADE,28.866,7.502,7.502,N/A,N/A,32.8
10,70,4.67,10,0,CLIFF_EVADE,29.698,7.513,7.513,N/A,N/A,32.0
10,75,5.0,10,0,CLIFF_EVADE,30.465,7.506,7.506,N/A,N/A,31.3
10,80,5.33,10,0,CLIFF_EVADE,31.141,7.528,7.528,N/A,N/A,30.7
10,85,5.67,10,0,CLIFF_EVADE,31.792,7.51,7.51,N/A,N/A,30.1
10,90,6.0,10,0,CLIFF_EVADE,32.36,7.535,7.535,N/A,N/A,29.6
10,-90,-6.0,15,0,CLIFF_EVADE,27.493,7.535,-7.535,N/A,N/A,34.6
10,-85,-5.67,15,0,CLIFF_EVADE,26.929,7.51,-7.51,N/A,N/A,35.1
10,-80,-5.33,15,0,CLIFF_EVADE,26.285,7.528,-7.528,N/A,N/A,35.7
10,-75,-5.0,15,0,CLIFF_EVADE,25.615,7.506,-7.506,N/A,N/A,36.3
10,-70,-4.67,15,0,CLIFF_EVADE,24.856,7.513,-7.513,N/A,N/A,37.0
10,-65,-4.33,15,0,CLIFF_EVADE,24.032,7.502,-7.502,N/A,N/A,37.8
10,-60,-4.0,15,0,CLIFF_EVADE,23.107,7.5,-7.5,N/A,N/A,38.7
10,-55,-3.67,15,0,CLIFF_EVADE,22.041,7.525,-7.525,N/A,N/A,39.7
10,-50,-3.33,15,0,CLIFF_EVADE,20.856,7.526,-7.526,N/A,N/A,40.9
10,-45,-3.0,15,0,CLIFF_EVADE,19.509,7.514,-7.514,N/A,N/A,42.2
10,-40,-2.67,15,0,CLIFF_EVADE,17.919,7.517,-7.517,N/A,N/A,43.8
10,-35,-2.33,15,0,CLIFF_PD_RETURN,15.865,7.516,-7.516,45.1,N/A,45.9
10,-30,-2.0,15,0,COLLISION_LANE_RETURN,-0.005,6.697,-2.481,45.1,50.4,62.1
10,-25,-1.67,15,0,COLLISION_LANE_RETURN,-0.032,5.574,-2.12,45.1,50.1,61.2
10,-20,-1.33,15,0,COLLISION_LANE_RETURN,-0.044,4.458,-1.709,45.1,49.8,60.4
10,-15,-1.0,15,0,COLLISION_LANE_RETURN,-0.032,3.35,-1.282,45.1,49.4,59.8
10,-10,-0.67,15,0,COLLISION_LANE_RETURN,-0.009,2.237,-0.839,45.1,49.0,59.3
10,-5,-0.33,15,0,COLLISION_LANE_RETURN,-0.033,1.118,-0.394,45.1,48.3,59.1
10,0,0.0,15,0,COLLISION_LANE_RETURN,-0.0,0.0,0.0,45.1,45.1,59.0
10,5,0.33,15,0,COLLISION_LANE_RETURN,-0.033,1.118,0.394,45.1,48.3,59.1
10,10,0.67,15,0,COLLISION_LANE_RETURN,-0.009,2.237,0.839,45.1,49.0,59.3
10,15,1.0,15,0,COLLISION_LANE_RETURN,-0.032,3.35,1.282,45.1,49.4,59.8
10,20,1.33,15,0,COLLISION_LANE_RETURN,-0.044,4.458,1.709,45.1,49.8,60.4
10,25,1.67,15,0,COLLISION_LANE_RETURN,-0.032,5.574,2.12,45.1,50.1,61.2
10,30,2.0,15,0,COLLISION_LANE_RETURN,-0.005,6.697,2.481,45.1,50.4,62.1
10,35,2.33,15,0,CLIFF_PD_RETURN,15.865,7.516,7.516,45.1,N/A,45.9
10,40,2.67,15,0,CLIFF_EVADE,17.919,7.517,7.517,N/A,N/A,43.8
10,45,3.0,15,0,CLIFF_EVADE,19.509,7.514,7.514,N/A,N/A,42.2
10,50,3.33,15,0,CLIFF_EVADE,20.856,7.526,7.526,N/A,N/A,40.9
10,55,3.67,15,0,CLIFF_EVADE,22.041,7.525,7.525,N/A,N/A,39.7
10,60,4.0,15,0,CLIFF_EVADE,23.107,7.5,7.5,N/A,N/A,38.7
10,65,4.33,15,0,CLIFF_EVADE,24.032,7.502,7.502,N/A,N/A,37.8
10,70,4.67,15,0,CLIFF_EVADE,24.856,7.513,7.513,N/A,N/A,37.0
10,75,5.0,15,0,CLIFF_EVADE,25.615,7.506,7.506,N/A,N/A,36.3
10,80,5.33,15,0,CLIFF_EVADE,26.285,7.528,7.528,N/A,N/A,35.7
10,85,5.67,15,0,CLIFF_EVADE,26.929,7.51,7.51,N/A,N/A,35.1
10,90,6.0,15,0,CLIFF_EVADE,27.493,7.535,7.535,N/A,N/A,34.6
10,-90,-6.0,20,0,CLIFF_EVADE,22.731,7.535,-7.535,N/A,N/A,39.5
10,-85,-5.67,20,0,CLIFF_EVADE,22.173,7.51,-7.51,N/A,N/A,40.0
10,-80,-5.33,20,0,CLIFF_EVADE,21.54,7.528,-7.528,N/A,N/A,40.6
10,-75,-5.0,20,0,CLIFF_EVADE,20.879,7.506,-7.506,N/A,N/A,41.2
10,-70,-4.67,20,0,CLIFF_EVADE,20.133,7.513,-7.513,N/A,N/A,41.9
10,-65,-4.33,20,0,CLIFF_EVADE,19.324,7.502,-7.502,N/A,N/A,42.7
10,-60,-4.0,20,0,CLIFF_EVADE,18.419,7.5,-7.5,N/A,N/A,43.6
10,-55,-3.67,20,0,CLIFF_EVADE,17.379,7.525,-7.525,N/A,N/A,44.7
10,-50,-3.33,20,0,CLIFF_EVADE,16.228,7.526,-7.526,N/A,N/A,45.8
10,-45,-3.0,20,0,CLIFF_EVADE,14.925,7.514,-7.514,N/A,N/A,47.2
10,-40,-2.67,20,0,CLIFF_EVADE,13.401,7.517,-7.517,N/A,N/A,48.8
10,-35,-2.33,20,0,CLIFF_PD_RETURN,11.464,7.516,-7.516,50.0,N/A,50.9
10,-30,-2.0,20,1,SUCCESS,0.329,6.697,-3.525,50.0,55.3,98.6
10,-25,-1.67,20,0,COLLISION_LANE_RETURN,-0.015,5.574,-2.976,50.0,55.1,62.9
10,-20,-1.33,20,0,COLLISION_LANE_RETURN,-0.012,4.458,-2.631,50.0,54.7,61.3
10,-15,-1.0,20,0,COLLISION_LANE_RETURN,-0.002,3.35,-2.079,50.0,54.4,60.2
10,-10,-0.67,20,0,COLLISION_LANE_RETURN,-0.034,2.237,-1.402,50.0,53.9,59.6
10,-5,-0.33,20,0,COLLISION_LANE_RETURN,-0.045,1.118,-0.674,50.0,53.2,59.2
10,0,0.0,20,0,COLLISION_LANE_RETURN,-0.0,0.0,0.0,50.0,50.1,59.0
10,5,0.33,20,0,COLLISION_LANE_RETURN,-0.045,1.118,0.674,50.0,53.2,59.2
10,10,0.67,20,0,COLLISION_LANE_RETURN,-0.034,2.237,1.402,50.0,53.9,59.6
10,15,1.0,20,0,COLLISION_LANE_RETURN,-0.002,3.35,2.079,50.0,54.4,60.2
10,20,1.33,20,0,COLLISION_LANE_RETURN,-0.012,4.458,2.631,50.0,54.7,61.3
10,25,1.67,20,0,COLLISION_LANE_RETURN,-0.015,5.574,2.976,50.0,55.1,62.9
10,30,2.0,20,1,SUCCESS,0.329,6.697,3.525,50.0,55.3,98.6
10,35,2.33,20,0,CLIFF_PD_RETURN,11.464,7.516,7.516,50.0,N/A,50.9
10,40,2.67,20,0,CLIFF_EVADE,13.401,7.517,7.517,N/A,N/A,48.8
10,45,3.0,20,0,CLIFF_EVADE,14.925,7.514,7.514,N/A,N/A,47.2
10,50,3.33,20,0,CLIFF_EVADE,16.228,7.526,7.526,N/A,N/A,45.8
10,55,3.67,20,0,CLIFF_EVADE,17.379,7.525,7.525,N/A,N/A,44.7
10,60,4.0,20,0,CLIFF_EVADE,18.419,7.5,7.5,N/A,N/A,43.6
10,65,4.33,20,0,CLIFF_EVADE,19.324,7.502,7.502,N/A,N/A,42.7
10,70,4.67,20,0,CLIFF_EVADE,20.133,7.513,7.513,N/A,N/A,41.9
10,75,5.0,20,0,CLIFF_EVADE,20.879,7.506,7.506,N/A,N/A,41.2
10,80,5.33,20,0,CLIFF_EVADE,21.54,7.528,7.528,N/A,N/A,40.6
10,85,5.67,20,0,CLIFF_EVADE,22.173,7.51,7.51,N/A,N/A,40.0
10,90,6.0,20,0,CLIFF_EVADE,22.731,7.535,7.535,N/A,N/A,39.5
10,-90,-6.0,25,0,CLIFF_EVADE,18.002,7.535,-7.535,N/A,N/A,44.5
10,-85,-5.67,25,0,CLIFF_EVADE,17.455,7.51,-7.51,N/A,N/A,45.0
10,-80,-5.33,25,0,CLIFF_EVADE,16.84,7.528,-7.528,N/A,N/A,45.6
10,-75,-5.0,25,0,CLIFF_EVADE,16.197,7.506,-7.506,N/A,N/A,46.2
10,-70,-4.67,25,0,CLIFF_EVADE,15.475,7.513,-7.513,N/A,N/A,46.9
10,-65,-4.33,25,0,CLIFF_EVADE,14.695,7.502,-7.502,N/A,N/A,47.7
10,-60,-4.0,25,0,CLIFF_EVADE,13.826,7.5,-7.5,N/A,N/A,48.6
10,-55,-3.67,25,0,CLIFF_EVADE,12.841,7.525,-7.525,N/A,N/A,49.7
10,-50,-3.33,25,0,CLIFF_EVADE,11.757,7.526,-7.526,N/A,N/A,50.8
10,-45,-3.0,25,0,CLIFF_EVADE,10.548,7.514,-7.514,N/A,N/A,52.2
10,-40,-2.67,25,0,CLIFF_EVADE,9.175,7.517,-7.517,N/A,N/A,53.8
10,-35,-2.33,25,0,CLIFF_PD_RETURN,7.518,7.516,-7.516,55.0,N/A,55.9
10,-30,-2.0,25,1,SUCCESS,2.263,6.697,-5.926,55.0,60.3,103.6
10,-25,-1.67,25,1,SUCCESS,1.468,5.574,-4.879,55.0,60.1,101.2
10,-20,-1.33,25,1,SUCCESS,0.599,4.458,-3.822,55.0,59.7,98.4
10,-15,-1.0,25,0,COLLISION_LANE_RETURN,-0.003,3.35,-2.946,55.0,59.4,61.7
10,-10,-0.67,25,0,COLLISION_LANE_RETURN,-0.028,2.237,-2.151,55.0,58.9,60.1
10,-5,-0.33,25,0,COLLISION_LANE_RETURN,-0.047,1.118,-1.08,55.0,58.2,59.3
10,0,0.0,25,0,COLLISION_LANE_RETURN,-0.0,0.0,0.0,55.0,55.1,59.0
10,5,0.33,25,0,COLLISION_LANE_RETURN,-0.047,1.118,1.08,55.0,58.2,59.3
10,10,0.67,25,0,COLLISION_LANE_RETURN,-0.028,2.237,2.151,55.0,58.9,60.1
10,15,1.0,25,0,COLLISION_LANE_RETURN,-0.003,3.35,2.946,55.0,59.4,61.7
10,20,1.33,25,1,SUCCESS,0.599,4.458,3.822,55.0,59.7,98.4
10,25,1.67,25,1,SUCCESS,1.468,5.574,4.879,55.0,60.1,101.2
10,30,2.0,25,1,SUCCESS,2.263,6.697,5.926,55.0,60.3,103.6
10,35,2.33,25,0,CLIFF_PD_RETURN,7.518,7.516,7.516,55.0,N/A,55.9
10,40,2.67,25,0,CLIFF_EVADE,9.175,7.517,7.517,N/A,N/A,53.8
10,45,3.0,25,0,CLIFF_EVADE,10.548,7.514,7.514,N/A,N/A,52.2
10,50,3.33,25,0,CLIFF_EVADE,11.757,7.526,7.526,N/A,N/A,50.8
10,55,3.67,25,0,CLIFF_EVADE,12.841,7.525,7.525,N/A,N/A,49.7
10,60,4.0,25,0,CLIFF_EVADE,13.826,7.5,7.5,N/A,N/A,48.6
10,65,4.33,25,0,CLIFF_EVADE,14.695,7.502,7.502,N/A,N/A,47.7
10,70,4.67,25,0,CLIFF_EVADE,15.475,7.513,7.513,N/A,N/A,46.9
10,75,5.0,25,0,CLIFF_EVADE,16.197,7.506,7.506,N/A,N/A,46.2
10,80,5.33,25,0,CLIFF_EVADE,16.84,7.528,7.528,N/A,N/A,45.6
10,85,5.67,25,0,CLIFF_EVADE,17.455,7.51,7.51,N/A,N/A,45.0
10,90,6.0,25,0,CLIFF_EVADE,18.002,7.535,7.535,N/A,N/A,44.5
10,-90,-6.0,30,0,CLIFF_EVADE,13.433,7.535,-7.535,N/A,N/A,49.5
10,-85,-5.67,30,0,CLIFF_EVADE,12.911,7.51,-7.51,N/A,N/A,50.0
10,-80,-5.33,30,0,CLIFF_EVADE,12.332,7.528,-7.528,N/A,N/A,50.6
10,-75,-5.0,30,0,CLIFF_EVADE,11.725,7.506,-7.506,N/A,N/A,51.2
10,-70,-4.67,30,0,CLIFF_EVADE,11.055,7.513,-7.513,N/A,N/A,51.9
10,-65,-4.33,30,0,CLIFF_EVADE,10.336,7.502,-7.502,N/A,N/A,52.7
10,-60,-4.0,30,0,CLIFF_EVADE,9.55,7.5,-7.5,N/A,N/A,53.6
10,-55,-3.67,30,0,CLIFF_EVADE,8.685,7.525,-7.525,N/A,N/A,54.7
