speed_kmh,straight_dist_m,min_steer_sw_deg,min_steer_wheel_deg,avoidable
90,70,N/A,N/A,0
90,75,N/A,N/A,0
90,80,N/A,N/A,0
90,85,N/A,N/A,0
90,90,N/A,N/A,0
90,95,N/A,N/A,0
90,100,N/A,N/A,0
90,105,N/A,N/A,0
90,110,N/A,N/A,0
90,115,N/A,N/A,0
90,120,N/A,N/A,0
100,5,10,0.67,1
100,10,10,0.67,1
100,15,10,0.67,1
100,20,10,0.67,1
100,25,15,1.0,1
100,30,15,1.0,1
100,35,20,1.33,1
100,40,N/A,N/A,0
100,45,N/A,N/A,0
100,50,N/A,N/A,0
100,55,N/A,N/A,0
100,60,N/A,N/A,0
100,65,N/A,N/A,0
100,70,N/A,N/A,0
100,75,N/A,N/A,0
100,80,N/A,N/A,0
100,85,N/A,N/A,0
100,90,N/A,N/A,0
100,95,N/A,N/A,0
100,100,N/A,N/A,0
100,105,N/A,N/A,0
100,110,N/A,N/A,0
100,115,N/A,N/A,0
100,120,N/A,N/A,0
110,5,10,0.67,1
110,10,10,0.67,1
110,15,10,0.67,1
110,20,10,0.67,1
110,25,15,1.0,1
110,30,15,1.0,1
110,35,20,1.33,1
110,40,N/A,N/A,0
110,45,N/A,N/A,0
110,50,N/A,N/A,0
110,55,N/A,N/A,0
110,60,N/A,N/A,0
110,65,N/A,N/A,0
110,70,N/A,N/A,0
110,75,N/A,N/A,0
110,80,N/A,N/A,0
110,85,N/A,N/A,0
110,90,N/A,N/A,0
110,95,N/A,N/A,0
110,100,N/A,N/A,0
110,105,N/A,N/A,0
110,110,N/A,N/A,0
110,115,N/A,N/A,0
110,120,N/A,N/A,0
120,5,10,0.67,1
120,10,10,0.67,1
120,15,10,0.67,1
120,20,10,0.67,1
120,25,15,1.0,1
120,30,15,1.0,1
120,35,N/A,N/A,0
120,40,N/A,N/A,0
120,45,N/A,N/A,0
120,50,N/A,N/A,0
120,55,N/A,N/A,0
120,60,N/A,N/A,0
120,65,N/A,N/A,0
120,70,N/A,N/A,0
120,75,N/A,N/A,0
120,80,N/A,N/A,0
120,85,N/A,N/A,0
120,90,N/A,N/A,0
120,95,N/A,N/A,0
120,100,N/A,N/A,0
120,105,N/A,N/A,0
120,110,N/A,N/A,0
120,115,N/A,N/A,0
120,120,N/A,N/A,0
10,N/A,5,0.33,0
